id;number;title;description;location;worktrip;need_sid_stage;need_otr_stage
1;systemic;compressing magenta Belize;invoice proactive Tools;override overriding;true;true;true
2;User-centric Portugal mint green;Cambridgeshire;Pula Ergonomic olive;Gateway protocol;true;false;true
3;Bedfordshire;Singapore Dollar;Auto Loan Account;backing up bluetooth bypass;true;true;false
4;Investment Account ROI;Kenya Cape Verde;Global;orchestration input Garden;false;false;true
5;Distributed sensor Borders;wireless Berkshire Intelligent Metal Salad;THX Communications;Dynamic;true;true;false
6;Hat China Chicken;lavender;Expressway French Southern Territories;Gambia Markets;false;false;false
7;Steel Executive Generic Metal Table;zero administration;facilitate Designer Computer;feed;false;false;true
8;Credit Card Account matrix exploit;synergize Intelligent;framework Fresh;Arizona payment black;true;true;false
9;auxiliary real-time;Operations;navigate turn-key;incentivize Organic Internal;true;false;true
10;International;compress Buckinghamshire Developer;target cultivate auxiliary;Kids AI;false;false;false
