id;title;description;system_rsupaz;root_plan_presence;need_project_order;need_project_calculation;need_electrical_heating;number_ai;number_ao;number_di;number_do;basic_labor_input
1;green Chile;Metal Kentucky;true;true;false;false;true;86972;52188;48058;64437;60880
2;Utah;Corporate transmitting robust;false;true;true;true;false;26766;24289;89760;68064;97980
3;Berkshire;radical invoice Architect;true;true;false;true;false;22824;4850;43013;11243;20997
4;Frozen;scale maroon TCP;false;true;false;true;false;92154;11165;48580;98723;96119
5;Mouse salmon Ergonomic;clicks-and-mortar mint green;true;true;true;true;false;26142;20196;74727;87754;24180
6;Technician;Auto Loan Account enhance;true;false;false;true;false;79671;85782;94037;95765;10258
7;deposit;Niue Program;false;true;false;false;false;13420;57617;31727;87061;26343
8;Buckinghamshire Representative redefine;Kroon;true;false;false;false;false;75750;29129;63278;29387;3994
9;encoding;deliverables Dynamic users;true;false;true;true;false;56007;23257;97392;83195;85020
10;budgetary management microchip transmitting;Awesome black Supervisor;true;true;false;true;false;80961;58448;53816;95121;27030
